city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Auckland,-36.8500,174.7833,New Zealand,NZ,Auckland,admin,1470100,1470100
Wellington,-41.2889,174.7772,New Zealand,NZ,Wellington,primary,418500,418500
Christchurch,-43.5309,172.6365,New Zealand,NZ,Canterbury,admin,377200,377200
Manukau City,-37.0000,174.8850,New Zealand,NZ,Auckland,,375600,375600
Waitakere,-36.8490,174.5430,New Zealand,NZ,Auckland,,208100,208100
Northcote,-36.7913,174.7758,New Zealand,NZ,Auckland,,205605,205605
Hamilton,-37.7833,175.2833,New Zealand,NZ,Waikato,admin,169300,169300
Tauranga,-37.6858,176.1667,New Zealand,NZ,Bay of Plenty,,135000,135000
Dunedin,-45.8667,170.5000,New Zealand,NZ,Otago,admin,106200,106200
Lower Hutt,-41.2167,174.9167,New Zealand,NZ,Wellington,,103400,103400
Palmerston North,-40.3549,175.6095,New Zealand,NZ,Manawatu-Wanganui,admin,81500,81500
Napier,-39.4833,176.9167,New Zealand,NZ,Hawke’s Bay,admin,62241,62241
Porirua,-41.1333,174.8500,New Zealand,NZ,Wellington,,59600,59600
Rotorua,-38.1378,176.2514,New Zealand,NZ,Bay of Plenty,,58500,58500
New Plymouth,-39.0578,174.0742,New Zealand,NZ,Taranaki,,57600,57600
Whangarei,-35.7250,174.3236,New Zealand,NZ,Northland,admin,54400,54400
Invercargill,-46.4290,168.3620,New Zealand,NZ,Southland,admin,50200,50200
Nelson,-41.2931,173.2381,New Zealand,NZ,Nelson,admin,49300,49300
Upper Hutt,-41.1333,175.0500,New Zealand,NZ,Wellington,,44300,44300
Whanganui,-39.9333,175.0500,New Zealand,NZ,Manawatu-Wanganui,,42200,42200
Gisborne,-38.6625,178.0178,New Zealand,NZ,Gisborne,admin,37000,37000
Paraparaumu,-40.9167,175.0167,New Zealand,NZ,Wellington,,30100,30100
Timaru,-44.4000,171.2500,New Zealand,NZ,Canterbury,,28700,28700
Blenheim,-41.5167,173.9500,New Zealand,NZ,Marlborough,admin,28200,28200
Pukekohe East,-37.1950,174.9481,New Zealand,NZ,Auckland,,26300,26300
Taupo,-38.6900,176.0800,New Zealand,NZ,Waikato,,25400,25400
Rolleston,-43.5960,172.3830,New Zealand,NZ,Canterbury,,21900,21900
Masterton,-40.9667,175.6500,New Zealand,NZ,Wellington,,21400,21400
Cambridge,-37.8833,175.4667,New Zealand,NZ,Waikato,,20500,20500
Levin,-40.6250,175.2833,New Zealand,NZ,Manawatu-Wanganui,,18800,18800
Ashton,-44.0330,171.7720,New Zealand,NZ,Canterbury,,17700,17700
Richmond,-41.3333,173.1833,New Zealand,NZ,Tasman,admin,17250,17250
Feilding,-40.2250,175.5650,New Zealand,NZ,Manawatu-Wanganui,,17050,17050
Whakatane,-37.9640,176.9840,New Zealand,NZ,Bay of Plenty,admin,16700,16700
Macetown,-44.8650,168.8190,New Zealand,NZ,Otago,,16600,16600
Havelock North,-39.6667,176.8833,New Zealand,NZ,Hawke’s Bay,,14900,14900
Mosgiel,-45.8750,170.3480,New Zealand,NZ,Otago,,14600,14600
Tokoroa,-38.2200,175.8720,New Zealand,NZ,Waikato,,14300,14300
Waikanae,-40.8760,175.0640,New Zealand,NZ,Wellington,,13650,13650
Te Awamutu,-38.0083,175.3250,New Zealand,NZ,Waikato,,13100,13100
Hawera,-39.5833,174.2833,New Zealand,NZ,Taranaki,,10300,10300
Glencoe,-46.1920,168.6460,New Zealand,NZ,Southland,,9750,9750
Waiuku,-37.2500,174.7333,New Zealand,NZ,Auckland,,9660,9660
Te Puke,-37.7833,176.3167,New Zealand,NZ,Bay of Plenty,,9560,9560
Wanaka,-44.7081,169.1239,New Zealand,NZ,Otago,,8900,8900
Matamata,-37.8097,175.7733,New Zealand,NZ,Waikato,,8460,8460
Greymouth,-42.4667,171.2000,New Zealand,NZ,West Coast,admin,8170,8170
Lincoln,-43.6400,172.4860,New Zealand,NZ,Canterbury,,8130,8130
Kerikeri,-35.2244,173.9514,New Zealand,NZ,Northland,,7850,7850
Kawerau,-38.0847,176.6996,New Zealand,NZ,Bay of Plenty,,7750,7750
Ngaruawahia,-37.6680,175.1470,New Zealand,NZ,Waikato,,7740,7740
Thames,-37.1383,175.5375,New Zealand,NZ,Waikato,,7680,7680
Waitara,-38.9958,174.2331,New Zealand,NZ,Taranaki,,7270,7270
Cromwell,-45.0400,169.2000,New Zealand,NZ,Otago,,6480,6480
Kaitaia,-35.1125,173.2628,New Zealand,NZ,Northland,,6300,6300
Warkworth,-36.4000,174.6667,New Zealand,NZ,Auckland,,6220,6220
Whitianga,-36.8331,175.6997,New Zealand,NZ,Waikato,,6160,6160
Stratford,-39.3410,174.2840,New Zealand,NZ,Taranaki,admin,6030,6030
Alexandra,-45.2492,169.3797,New Zealand,NZ,Otago,,5790,5790
Waihi,-37.3930,175.8320,New Zealand,NZ,Waikato,,5740,5740
Marton,-40.0692,175.3783,New Zealand,NZ,Manawatu-Wanganui,,5470,5470
Katikati,-37.5500,175.9167,New Zealand,NZ,Bay of Plenty,,5420,5420
Tuakau,-37.2667,174.9500,New Zealand,NZ,Waikato,,5390,5390
Dargaville,-35.9333,173.8833,New Zealand,NZ,Northland,,5170,5170
Prebbleton,-43.5783,172.5133,New Zealand,NZ,Canterbury,,4970,4970
Wairoa,-39.0420,177.4230,New Zealand,NZ,Hawke’s Bay,,4870,4870
Kaikohe,-35.4075,173.7997,New Zealand,NZ,Northland,,4820,4820
Te Aroha,-37.5388,175.7091,New Zealand,NZ,Waikato,,4670,4670
Westport,-41.7550,171.5990,New Zealand,NZ,West Coast,,4660,4660
Paeroa,-37.3667,175.6670,New Zealand,NZ,Waikato,,4510,4510
Whangamata,-37.2100,175.8740,New Zealand,NZ,Waikato,,4420,4420
Balclutha,-46.2417,169.7333,New Zealand,NZ,Otago,,4230,4230
Pokeno,-37.2430,175.0180,New Zealand,NZ,Waikato,,4020,4020
Snells Beach,-36.4222,174.7275,New Zealand,NZ,Auckland,,3730,3730
Turangi,-38.9890,175.8100,New Zealand,NZ,Waikato,,3650,3650
Raglan,-37.8000,174.8710,New Zealand,NZ,Waikato,,3590,3590
Foxton,-40.4717,175.2858,New Zealand,NZ,Manawatu-Wanganui,,3310,3310
Riverhead,-36.7500,174.6000,New Zealand,NZ,Auckland,,3300,3300
Otorohanga,-38.1833,175.2000,New Zealand,NZ,Waikato,,3240,3240
Ashhurst,-40.3000,175.7500,New Zealand,NZ,Manawatu-Wanganui,,3160,3160
Helensville,-36.6797,174.4494,New Zealand,NZ,Auckland,,3150,3150
Woodend,-43.3167,172.6670,New Zealand,NZ,Canterbury,,3100,3100
Kihikihi,-38.0333,175.3500,New Zealand,NZ,Waikato,,3090,3090
Hokitika,-42.7167,170.9667,New Zealand,NZ,West Coast,,3090,3090
Arrowtown,-44.9425,168.8358,New Zealand,NZ,Otago,,2950,2950
Te Anau,-45.4167,167.7167,New Zealand,NZ,Southland,,2940,2940
Renwick,-41.5099,173.8282,New Zealand,NZ,Marlborough,,2928,2928
Darfield,-43.4880,172.1090,New Zealand,NZ,Canterbury,,2900,2900
Ruakaka,-35.9084,174.4596,New Zealand,NZ,Northland,,2830,2830
Pahiatua,-40.4533,175.8408,New Zealand,NZ,Manawatu-Wanganui,,2820,2820
Waihi Beach,-37.4050,175.9410,New Zealand,NZ,Bay of Plenty,,2720,2720
Wakefield,-41.4044,173.0483,New Zealand,NZ,Tasman,,2570,2570
Maraetai,-36.8830,175.0430,New Zealand,NZ,Auckland,,2500,2500
Winton,-46.1430,168.3240,New Zealand,NZ,Southland,,2470,2470
West Melton,-43.5240,172.3698,New Zealand,NZ,Canterbury,,2440,2440
Oxford,-43.2980,172.1880,New Zealand,NZ,Canterbury,,2370,2370
Leeston,-43.7667,172.3000,New Zealand,NZ,Canterbury,,2370,2370
Clive,-39.5833,176.9167,New Zealand,NZ,Hawke’s Bay,,2360,2360
Te Kauwhata,-37.4000,175.1500,New Zealand,NZ,Waikato,,2310,2310
Amberley,-43.1556,172.7306,New Zealand,NZ,Canterbury,,2270,2270
Brightwater,-41.3750,173.1020,New Zealand,NZ,Tasman,,2250,2250
Milton,-46.1167,169.9670,New Zealand,NZ,Otago,,2210,2210
Kaikoura,-42.4000,173.6814,New Zealand,NZ,Canterbury,,2210,2210
Bulls,-40.1750,175.3833,New Zealand,NZ,Manawatu-Wanganui,,2150,2150
Wellsford,-36.2958,174.5233,New Zealand,NZ,Auckland,,2140,2140
Foxton Beach,-40.4611,175.2242,New Zealand,NZ,Manawatu-Wanganui,,2090,2090
Eltham,-39.4297,174.2992,New Zealand,NZ,Taranaki,,2040,2040
Murupara,-38.4560,176.7050,New Zealand,NZ,Bay of Plenty,,1970,1970
Methven,-43.6333,171.6500,New Zealand,NZ,Canterbury,,1900,1900
Bluff,-46.6000,168.3333,New Zealand,NZ,Southland,,1880,1880
Coromandel,-36.7540,175.5040,New Zealand,NZ,Waikato,,1860,1860
Moerewa,-35.3833,174.0330,New Zealand,NZ,Northland,,1850,1850
Paekakariki,-40.9833,174.9500,New Zealand,NZ,Wellington,,1840,1840
Mangawhai,-36.1264,174.5747,New Zealand,NZ,Northland,,1800,1800
Edgecumbe,-37.9833,176.8333,New Zealand,NZ,Bay of Plenty,,1790,1790
Taihape,-39.6767,175.7967,New Zealand,NZ,Manawatu-Wanganui,,1790,1790
Hikurangi,-35.5983,174.2867,New Zealand,NZ,Northland,,1760,1760
Lake Hāwea,-44.6110,169.2640,New Zealand,NZ,Otago,,1700,1700
Riverton,-46.3500,168.0167,New Zealand,NZ,Southland,,1700,1700
Paihia,-35.2822,174.0911,New Zealand,NZ,Northland,,1660,1660
Oakura,-39.1167,173.9500,New Zealand,NZ,Taranaki,,1650,1650
Woodville,-40.3371,175.8667,New Zealand,NZ,Manawatu-Wanganui,,1630,1630
Kawakawa,-35.3831,174.0667,New Zealand,NZ,Northland,,1610,1610
Brighton,-45.9486,170.3273,New Zealand,NZ,Otago,,1570,1570
Tairua,-37.0064,175.8489,New Zealand,NZ,Waikato,,1560,1560
Ngatea,-37.2800,175.4930,New Zealand,NZ,Waikato,,1550,1550
Clarks Beach,-37.1360,174.6930,New Zealand,NZ,Auckland,,1530,1530
Shannon,-40.5472,175.4107,New Zealand,NZ,Manawatu-Wanganui,,1520,1520
Rakaia,-43.7500,172.0167,New Zealand,NZ,Canterbury,,1510,1510
Pleasant Point,-44.2610,171.1330,New Zealand,NZ,Canterbury,,1460,1460
Waimauku,-36.7686,174.4933,New Zealand,NZ,Auckland,,1400,1400
Ahipara,-35.1714,173.1533,New Zealand,NZ,Northland,,1390,1390
Takaka,-40.8500,172.8000,New Zealand,NZ,Tasman,,1390,1390
Mapua,-41.2470,173.0900,New Zealand,NZ,Tasman,,1360,1360
Maketu,-37.7589,176.4531,New Zealand,NZ,Bay of Plenty,,1330,1330
Haumoana,-39.6167,176.9500,New Zealand,NZ,Hawke’s Bay,,1290,1290
Burnham,-43.6150,172.3150,New Zealand,NZ,Canterbury,,1290,1290
Pirongia,-37.9930,175.2020,New Zealand,NZ,Waikato,,1280,1280
Patumahoe,-37.1860,174.8280,New Zealand,NZ,Auckland,,1270,1270
Arthurs Point,-44.9916,168.6701,New Zealand,NZ,Otago,,1260,1260
Waikouaiti,-45.5948,170.6728,New Zealand,NZ,Otago,,1250,1250
Patea,-39.7572,174.4767,New Zealand,NZ,Taranaki,,1240,1240
Ngunguru,-35.6344,174.5000,New Zealand,NZ,Northland,,1230,1230
Runanga,-42.4006,171.2514,New Zealand,NZ,West Coast,,1230,1230
Opua,-35.3142,174.1186,New Zealand,NZ,Northland,,1220,1220
Clyde,-45.1910,169.3270,New Zealand,NZ,Otago,,1200,1200
Waipu,-35.9833,174.4500,New Zealand,NZ,Northland,,1160,1160
Haruru,-35.2807,174.0543,New Zealand,NZ,Northland,,1150,1150
Parakai,-36.6500,174.4330,New Zealand,NZ,Auckland,,1150,1150
Pauanui,-37.0230,175.8590,New Zealand,NZ,Waikato,,1130,1130
Hanmer Springs,-42.5167,172.8167,New Zealand,NZ,Canterbury,,1100,1100
Normanby,-39.5333,174.2670,New Zealand,NZ,Taranaki,,1090,1090
Hamurana,-38.0360,176.2410,New Zealand,NZ,Bay of Plenty,,1080,1080
Whangarei Heads,-35.8172,174.5039,New Zealand,NZ,Northland,,1060,1060
Piha,-36.9500,174.4690,New Zealand,NZ,Auckland,,1060,1060
Algies Bay,-36.4320,174.7450,New Zealand,NZ,Auckland,,1040,1040
Stillwater,-36.6390,174.7120,New Zealand,NZ,Auckland,,1040,1040
Kirwee,-43.5000,172.2167,New Zealand,NZ,Canterbury,,1040,1040
Cable Bay,-34.9930,173.4830,New Zealand,NZ,Northland,,1020,1020
Reefton,-42.1167,171.8670,New Zealand,NZ,West Coast,,1010,1010
Manaia,-39.5508,174.1250,New Zealand,NZ,Taranaki,,1000,1000
Maungaturoto,-36.1070,174.3600,New Zealand,NZ,Northland,,1000,1000
Palmerston,-45.4840,170.7153,New Zealand,NZ,Otago,,1000,1000
Taneatua,-38.0640,177.0040,New Zealand,NZ,Bay of Plenty,,980,980
Hope,-41.3667,173.1500,New Zealand,NZ,Tasman,,970,970
Kaukapakapa,-36.6167,174.5000,New Zealand,NZ,Auckland,,960,960
Southbridge,-43.8110,172.2530,New Zealand,NZ,Canterbury,,960,960
Waikuku Beach,-43.2870,172.7160,New Zealand,NZ,Canterbury,,940,940
Governors Bay,-43.6247,172.6480,New Zealand,NZ,Canterbury,,940,940
Fairlie,-44.1000,170.8333,New Zealand,NZ,Canterbury,,910,910
Mamaku,-38.0953,176.0786,New Zealand,NZ,Bay of Plenty,,900,900
Tolaga Bay,-38.3711,178.3000,New Zealand,NZ,Gisborne,,890,890
Athenree,-37.4450,175.9620,New Zealand,NZ,Bay of Plenty,,870,870
Paengaroa,-37.8224,176.4114,New Zealand,NZ,Bay of Plenty,,870,870
Tirau,-37.9780,175.7570,New Zealand,NZ,Waikato,,860,860
Te Awanga,-39.6333,176.9830,New Zealand,NZ,Hawke’s Bay,,840,840
Waverley,-39.7667,174.6330,New Zealand,NZ,Taranaki,,830,830
Ruatoria,-37.8900,178.3100,New Zealand,NZ,Gisborne,,830,830
Kaiwaka,-36.1667,174.4500,New Zealand,NZ,Northland,,830,830
Riwaka,-41.0770,172.9970,New Zealand,NZ,Tasman,,810,810
Tapanui,-45.9500,169.2667,New Zealand,NZ,Otago,,800,800
Kinloch,-38.6600,175.9231,New Zealand,NZ,Waikato,,800,800
